Belgium,2008,10666866,
Belgium,2009,10753080,
Belgium,2010,10839905,
Belgium,2011,11000638,
Belgium,2012,11075889,
Belgium,2013,11137974,
Belgium,2014,11180840,
Belgium,2015,11237274,
Belgium,2016,11311117,
Belgium,2017,11351727,
Belgium,2018,11398589,
Bulgária,2008,7518002,
Bulgária,2009,7467119,
Bulgária,2010,7421766,
Bulgária,2011,7369431,
Bulgária,2012,7327224,
Bulgária,2013,7284552,
Bulgária,2014,7245677,
Bulgária,2015,7202198,
Bulgária,2016,7153784,
Bulgária,2017,7101859,
Bulgária,2018,7050034,
Bulgária,2019,7000039,
Csehország,2008,10343422,
Csehország,2009,10425783,
Csehország,2010,10462088,
Csehország,2011,10486731,
Csehország,2012,10505445,
Csehország,2013,10516125,
Csehország,2014,10512419,
Csehország,2015,10538275,
Csehország,2016,10553843,
Csehország,2017,10578820,
Csehország,2018,10610055,
Csehország,2019,10649800,
Dánia,2008,5475791,
Dánia,2009,5511451,
Dánia,2010,5534738,
Dánia,2011,5560628,
Dánia,2012,5580516,
Dánia,2013,5602628,
Dánia,2014,5627235,
Dánia,2015,5659715,
Dánia,2016,5707251,
Dánia,2017,5748769,
Dánia,2018,5781190,
Dánia,2019,5806081,
Németország,2008,82217837,
Németország,2009,82002356,
Németország,2010,81802257,
Németország,2011,80222065,
Németország,2012,80327900,
Németország,2013,80523746,
Németország,2014,80767463,
Németország,2015,81197537,
Németország,2016,82175684,
Németország,2017,82521653,
Németország,2018,82792351,
Németország,2019,83019213,
Észtország,2008,1338440,
Észtország,2009,1335740,
Észtország,2010,1333290,
Észtország,2011,1329660,
Észtország,2012,1325217,
Észtország,2013,1320174,
Észtország,2014,1315819,
Észtország,2015,1314870,
Észtország,2016,1315944,
Észtország,2017,1315635,
Észtország,2018,1319133,
Észtország,2019,1324820,
Írország,2008,4457765,
Írország,2009,4521322,
Írország,2010,4549428,
Írország,2011,4570881,
Írország,2012,4589287,
Írország,2013,4609779,
Írország,2014,4637852,
Írország,2015,4677627,
Írország,2016,4726286,
Írország,2017,4784383,
Írország,2018,4830392,
Írország,2019,4904226,
Görögország,2008,11060937,
Görögország,2009,11094745,
Görögország,2010,11119289,
Görögország,2011,11123392,
Görögország,2012,11086406,
Görögország,2013,11003615,
Görögország,2014,10926807,
Görögország,2015,10858018,
Görögország,2016,10783748,
Görögország,2017,10768193,
Görögország,2018,10741165,
Görögország,2019,10722287,
Spanyolország,2008,45668939,
Spanyolország,2009,46239273,
Spanyolország,2010,46486619,
Spanyolország,2011,46667174,
Spanyolország,2012,46818219,
Spanyolország,2013,46727890,
Spanyolország,2014,46512199,
Spanyolország,2015,46449565,
Spanyolország,2016,46440099,
Spanyolország,2017,46528024,
Spanyolország,2018,46658447,
Spanyolország,2019,46934632,
Franciaország,2008,64007193,
Franciaország,2009,64350226,
Franciaország,2010,64658856,
Franciaország,2011,64978721,
Franciaország,2012,65276983,
Franciaország,2013,65600350,
Franciaország,2014,66165980,
Franciaország,2015,66458153,
Franciaország,2016,66638391,
Franciaország,2017,66804121,
Franciaország,2018,66926166,
Franciaország,2019,67028048,
Horvátország,2008,4311967,
Horvátország,2009,4309796,
Horvátország,2010,4302847,
Horvátország,2011,4289857,
Horvátország,2012,4275984,
Horvátország,2013,4262140,
Horvátország,2014,4246809,
Horvátország,2015,4225316,
